package	installed	version
annotate	TRUE	1.86.1
AnnotationHub	TRUE	3.16.1
bslib	TRUE	0.9.0
DESeq2	TRUE	1.48.2
dplyr	TRUE	1.1.4
forcats	TRUE	1.0.0
ggplot2	TRUE	4.0.0
ggpubr	TRUE	0.6.1
ggrepel	TRUE	0.9.6
grid	TRUE	4.5.1
Hmisc	TRUE	5.2-3
Homo.sapiens	TRUE	1.3.1
openxlsx	TRUE	4.2.8
patchwork	TRUE	1.3.2
pheatmap	TRUE	1.0.13
RColorBrewer	TRUE	1.1-3
rlang	TRUE	1.1.6
shiny	TRUE	1.11.1
shinycssloaders	TRUE	1.1.0
shinyjs	TRUE	2.1.0
shinythemes	TRUE	1.2.0
stringr	TRUE	1.5.2
SummarizedExperiment	TRUE	1.38.1
tibble	TRUE	3.3.0
tidyr	TRUE	1.3.1
viridis	TRUE	0.6.5
